1. netqlty 0.75, netp 1.0000, onep 0.0000, zerop 1.0000, randp 1.0000, kuperinp 1.0000, sxs 1
615. netqlty 0.78, netp 0.4699, onep 0.4407, zerop 0.5593, randp 0.4813, kuperinp 0.5008, sxs 0
616. netqlty 0.90, netp 0.4708, onep 0.4416, zerop 0.5584, randp 0.4821, kuperinp 0.5016, sxs 1
617. netqlty 0.80, netp 0.4700, onep 0.4408, zerop 0.5592, randp 0.4830, kuperinp 0.5008, sxs 0
618. netqlty 0.80, netp 0.4693, onep 0.4401, zerop 0.5599, randp 0.4822, kuperinp 0.5016, sxs 0
619. netqlty 0.80, netp 0.4685, onep 0.4394, zerop 0.5606, randp 0.4814, kuperinp 0.5024, sxs 0
620. netqlty 0.78, netp 0.4677, onep 0.4403, zerop 0.5597, randp 0.4823, kuperinp 0.5016, sxs 0
621. netqlty 0.80, netp 0.4686, onep 0.4396, zerop 0.5604, randp 0.4831, kuperinp 0.5008, sxs 1
622. netqlty 0.89, netp 0.4678, onep 0.4389, zerop 0.5611, randp 0.4839, kuperinp 0.5016, sxs 0
623. netqlty 0.78, netp 0.4687, onep 0.4382, zerop 0.5618, randp 0.4848, kuperinp 0.5024, sxs 1
624. netqlty 0.62, netp 0.4696, onep 0.4391, zerop 0.5609, randp 0.4856, kuperinp 0.5016, sxs 1
625. netqlty 0.75, netp 0.4688, onep 0.4400, zerop 0.5600, randp 0.4848, kuperinp 0.5024, sxs 0
626. netqlty 0.78, netp 0.4681, onep 0.4409, zerop 0.5591, randp 0.4840, kuperinp 0.5032, sxs 0
627. netqlty 0.78, netp 0.4673, onep 0.4402, zerop 0.5598, randp 0.4848, kuperinp 0.5024, sxs 0
628. netqlty 0.78, netp 0.4666, onep 0.4411, zerop 0.5589, randp 0.4857, kuperinp 0.5016, sxs 0
629. netqlty 0.78, netp 0.4658, onep 0.4420, zerop 0.5580, randp 0.4865, kuperinp 0.5024, sxs 0
630. netqlty 0.80, netp 0.4651, onep 0.4413, zerop 0.5587, randp 0.4857, kuperinp 0.5016, sxs 0
631. netqlty 0.80, netp 0.4659, onep 0.4422, zerop 0.5578, randp 0.4865, kuperinp 0.5008, sxs 1
632. netqlty 0.73, netp 0.4668, onep 0.4430, zerop 0.5570, randp 0.4873, kuperinp 0.5016, sxs 1
633. netqlty 0.91, netp 0.4660, onep 0.4439, zerop 0.5561, randp 0.4882, kuperinp 0.5024, sxs 0
634. netqlty 0.75, netp 0.4653, onep 0.4432, zerop 0.5568, randp 0.4890, kuperinp 0.5016, sxs 0
635. netqlty 0.82, netp 0.4646, onep 0.4441, zerop 0.5559, randp 0.4882, kuperinp 0.5008, sxs 0
636. netqlty 0.82, netp 0.4654, onep 0.4450, zerop 0.5550, randp 0.4874, kuperinp 0.5016, sxs 1
637. netqlty 0.82, netp 0.4647, onep 0.4443, zerop 0.5557, randp 0.4882, kuperinp 0.5008, sxs 0
638. netqlty 0.82, netp 0.4655, onep 0.4451, zerop 0.5549, randp 0.4890, kuperinp 0.5000, sxs 1
639. netqlty 0.92, netp 0.4648, onep 0.4444, zerop 0.5556, randp 0.4898, kuperinp 0.4992, sxs 0
640. netqlty 0.83, netp 0.4656, onep 0.4453, zerop 0.5547, randp 0.4891, kuperinp 0.4984, sxs 1
641. netqlty 0.75, netp 0.4665, onep 0.4462, zerop 0.5538, randp 0.4899, kuperinp 0.4992, sxs 1
642. netqlty 0.85, netp 0.4657, onep 0.4455, zerop 0.5545, randp 0.4907, kuperinp 0.4984, sxs 0
643. netqlty 0.92, netp 0.4666, onep 0.4463, zerop 0.5537, randp 0.4899, kuperinp 0.4977, sxs 1
644. netqlty 0.93, netp 0.4658, onep 0.4457, zerop 0.5543, randp 0.4891, kuperinp 0.4969, sxs 0
645. netqlty 0.85, netp 0.4651, onep 0.4450, zerop 0.5550, randp 0.4899, kuperinp 0.4977, sxs 0
646. netqlty 0.83, netp 0.4659, onep 0.4443, zerop 0.5557, randp 0.4892, kuperinp 0.4985, sxs 1
647. netqlty 0.82, netp 0.4668, onep 0.4451, zerop 0.5549, randp 0.4884, kuperinp 0.4977, sxs 1
648. netqlty 0.75, netp 0.4660, onep 0.4460, zerop 0.5540, randp 0.4877, kuperinp 0.4985, sxs 0
649. netqlty 0.92, netp 0.4669, onep 0.4468, zerop 0.5532, randp 0.4869, kuperinp 0.4992, sxs 1
650. netqlty 0.83, netp 0.4662, onep 0.4462, zerop 0.5538, randp 0.4862, kuperinp 0.4985, sxs 0
651. netqlty 0.75, netp 0.4654, onep 0.4470, zerop 0.5530, randp 0.4869, kuperinp 0.4977, sxs 0
652. netqlty 0.83, netp 0.4663, onep 0.4479, zerop 0.5521, randp 0.4877, kuperinp 0.4985, sxs 1
653. netqlty 0.83, netp 0.4655, onep 0.4472, zerop 0.5528, randp 0.4870, kuperinp 0.4977, sxs 0
654. netqlty 0.82, netp 0.4664, onep 0.4480, zerop 0.5520, randp 0.4878, kuperinp 0.4969, sxs 1
655. netqlty 0.83, netp 0.4656, onep 0.4473, zerop 0.5527, randp 0.4885, kuperinp 0.4962, sxs 0
656. netqlty 0.73, netp 0.4665, onep 0.4482, zerop 0.5518, randp 0.4878, kuperinp 0.4954, sxs 1
657. netqlty 0.82, netp 0.4673, onep 0.4475, zerop 0.5525, randp 0.4871, kuperinp 0.4947, sxs 1
658. netqlty 0.82, netp 0.4666, onep 0.4468, zerop 0.5532, randp 0.4878, kuperinp 0.4954, sxs 0
659. netqlty 0.70, netp 0.4659, onep 0.4461, zerop 0.5539, randp 0.4886, kuperinp 0.4962, sxs 0
660. netqlty 0.80, netp 0.4667, onep 0.4455, zerop 0.5545, randp 0.4879, kuperinp 0.4970, sxs 1
661. netqlty 0.78, netp 0.4660, onep 0.4463, zerop 0.5537, randp 0.4871, kuperinp 0.4962, sxs 0
662. netqlty 0.67, netp 0.4653, onep 0.4456, zerop 0.5544, randp 0.4879, kuperinp 0.4955, sxs 0
663. netqlty 0.67, netp 0.4646, onep 0.4465, zerop 0.5535, randp 0.4872, kuperinp 0.4947, sxs 0
664. netqlty 0.89, netp 0.4654, onep 0.4458, zerop 0.5542, randp 0.4880, kuperinp 0.4940, sxs 1
665. netqlty 0.67, netp 0.4662, onep 0.4451, zerop 0.5549, randp 0.4887, kuperinp 0.4947, sxs 1
666. netqlty 0.78, netp 0.4670, onep 0.4444, zerop 0.5556, randp 0.4895, kuperinp 0.4955, sxs 1
667. netqlty 0.67, netp 0.4678, onep 0.4438, zerop 0.5562, randp 0.4903, kuperinp 0.4963, sxs 1
668. netqlty 0.75, netp 0.4686, onep 0.4446, zerop 0.5554, randp 0.4895, kuperinp 0.4955, sxs 1
669. netqlty 0.75, netp 0.4679, onep 0.4454, zerop 0.5546, randp 0.4903, kuperinp 0.4963, sxs 0
670. netqlty 0.75, netp 0.4687, onep 0.4448, zerop 0.5552, randp 0.4910, kuperinp 0.4955, sxs 1
671. netqlty 0.75, netp 0.4680, onep 0.4456, zerop 0.5544, randp 0.4903, kuperinp 0.4948, sxs 0
672. netqlty 0.75, netp 0.4673, onep 0.4464, zerop 0.5536, randp 0.4896, kuperinp 0.4955, sxs 0
673. netqlty 0.75, netp 0.4681, onep 0.4473, zerop 0.5527, randp 0.4903, kuperinp 0.4963, sxs 1
674. netqlty 0.67, netp 0.4688, onep 0.4481, zerop 0.5519, randp 0.4911, kuperinp 0.4970, sxs 1
675. netqlty 0.89, netp 0.4681, onep 0.4474, zerop 0.5526, randp 0.4904, kuperinp 0.4963, sxs 0
676. netqlty 0.67, netp 0.4689, onep 0.4482, zerop 0.5518, randp 0.4896, kuperinp 0.4956, sxs 1
677. netqlty 0.67, netp 0.4697, onep 0.4490, zerop 0.5510, randp 0.4889, kuperinp 0.4963, sxs 1
678. netqlty 0.60, netp 0.4690, onep 0.4484, zerop 0.5516, randp 0.4882, kuperinp 0.4956, sxs 0
679. netqlty 0.90, netp 0.4683, onep 0.4477, zerop 0.5523, randp 0.4875, kuperinp 0.4963, sxs 0
680. netqlty 0.90, netp 0.4691, onep 0.4485, zerop 0.5515, randp 0.4868, kuperinp 0.4956, sxs 1
681. netqlty 0.82, netp 0.4699, onep 0.4493, zerop 0.5507, randp 0.4860, kuperinp 0.4963, sxs 1
682. netqlty 0.73, netp 0.4692, onep 0.4487, zerop 0.5513, randp 0.4853, kuperinp 0.4956, sxs 0
683. netqlty 0.82, netp 0.4685, onep 0.4480, zerop 0.5520, randp 0.4861, kuperinp 0.4963, sxs 0
684. netqlty 0.80, netp 0.4678, onep 0.4474, zerop 0.5526, randp 0.4868, kuperinp 0.4971, sxs 0
685. netqlty 0.70, netp 0.4672, onep 0.4482, zerop 0.5518, randp 0.4861, kuperinp 0.4964, sxs 0
686. netqlty 0.82, netp 0.4679, onep 0.4490, zerop 0.5510, randp 0.4854, kuperinp 0.4971, sxs 1
687. netqlty 0.83, netp 0.4672, onep 0.4483, zerop 0.5517, randp 0.4862, kuperinp 0.4964, sxs 0
688. netqlty 0.92, netp 0.4680, onep 0.4491, zerop 0.5509, randp 0.4869, kuperinp 0.4956, sxs 1
689. netqlty 0.83, netp 0.4688, onep 0.4499, zerop 0.5501, randp 0.4877, kuperinp 0.4964, sxs 1
690. netqlty 0.75, netp 0.4696, onep 0.4493, zerop 0.5507, randp 0.4870, kuperinp 0.4957, sxs 1
691. netqlty 0.83, netp 0.4703, onep 0.4486, zerop 0.5514, randp 0.4877, kuperinp 0.4964, sxs 1
692. netqlty 0.73, netp 0.4697, onep 0.4480, zerop 0.5520, randp 0.4884, kuperinp 0.4971, sxs 0
693. netqlty 0.70, netp 0.4704, onep 0.4473, zerop 0.5527, randp 0.4877, kuperinp 0.4978, sxs 1
694. netqlty 0.67, netp 0.4697, onep 0.4481, zerop 0.5519, randp 0.4885, kuperinp 0.4971, sxs 0
695. netqlty 0.78, netp 0.4691, onep 0.4475, zerop 0.5525, randp 0.4878, kuperinp 0.4964, sxs 0
696. netqlty 0.78, netp 0.4698, onep 0.4468, zerop 0.5532, randp 0.4871, kuperinp 0.4971, sxs 1
697. netqlty 0.88, netp 0.4706, onep 0.4476, zerop 0.5524, randp 0.4864, kuperinp 0.4964, sxs 1
698. netqlty 0.75, netp 0.4713, onep 0.4470, zerop 0.5530, randp 0.4871, kuperinp 0.4957, sxs 1
699. netqlty 0.75, netp 0.4721, onep 0.4464, zerop 0.5536, randp 0.4878, kuperinp 0.4964, sxs 1
700. netqlty 0.62, netp 0.4714, onep 0.4457, zerop 0.5543, randp 0.4886, kuperinp 0.4971, sxs 0
701. netqlty 0.71, netp 0.4722, onep 0.4465, zerop 0.5535, randp 0.4893, kuperinp 0.4964, sxs 1
702. netqlty 0.71, netp 0.4729, onep 0.4459, zerop 0.5541, randp 0.4900, kuperinp 0.4957, sxs 1
703. netqlty 0.71, netp 0.4723, onep 0.4467, zerop 0.5533, randp 0.4908, kuperinp 0.4950, sxs 0
704. netqlty 0.88, netp 0.4730, onep 0.4474, zerop 0.5526, randp 0.4915, kuperinp 0.4957, sxs 1
705. netqlty 0.67, netp 0.4723, onep 0.4482, zerop 0.5518, randp 0.4922, kuperinp 0.4965, sxs 0
706. netqlty 0.67, netp 0.4717, onep 0.4476, zerop 0.5524, randp 0.4929, kuperinp 0.4958, sxs 0
707. netqlty 0.75, netp 0.4710, onep 0.4484, zerop 0.5516, randp 0.4936, kuperinp 0.4950, sxs 0
708. netqlty 0.67, netp 0.4718, onep 0.4477, zerop 0.5523, randp 0.4944, kuperinp 0.4944, sxs 1
709. netqlty 0.75, netp 0.4725, onep 0.4471, zerop 0.5529, randp 0.4937, kuperinp 0.4951, sxs 1
710. netqlty 0.71, netp 0.4732, onep 0.4465, zerop 0.5535, randp 0.4944, kuperinp 0.4958, sxs 1
711. netqlty 0.57, netp 0.4726, onep 0.4473, zerop 0.5527, randp 0.4937, kuperinp 0.4951, sxs 0
712. netqlty 0.62, netp 0.4733, onep 0.4466, zerop 0.5534, randp 0.4944, kuperinp 0.4944, sxs 1
713. netqlty 0.88, netp 0.4727, onep 0.4460, zerop 0.5540, randp 0.4951, kuperinp 0.4951, sxs 0
714. netqlty 0.75, netp 0.4734, onep 0.4454, zerop 0.5546, randp 0.4958, kuperinp 0.4958, sxs 1
715. netqlty 0.57, netp 0.4741, onep 0.4448, zerop 0.5552, randp 0.4965, kuperinp 0.4965, sxs 1
716. netqlty 0.57, netp 0.4749, onep 0.4441, zerop 0.5559, randp 0.4958, kuperinp 0.4972, sxs 1
717. netqlty 0.86, netp 0.4756, onep 0.4449, zerop 0.5551, randp 0.4965, kuperinp 0.4965, sxs 1
718. netqlty 0.71, netp 0.4763, onep 0.4457, zerop 0.5543, randp 0.4972, kuperinp 0.4972, sxs 1
719. netqlty 0.62, netp 0.4771, onep 0.4451, zerop 0.5549, randp 0.4965, kuperinp 0.4965, sxs 1
720. netqlty 0.62, netp 0.4764, onep 0.4458, zerop 0.5542, randp 0.4972, kuperinp 0.4958, sxs 0
721. netqlty 0.78, netp 0.4757, onep 0.4452, zerop 0.5548, randp 0.4965, kuperinp 0.4951, sxs 0
722. netqlty 0.75, netp 0.4751, onep 0.4446, zerop 0.5554, randp 0.4972, kuperinp 0.4958, sxs 0
723. netqlty 0.75, netp 0.4744, onep 0.4454, zerop 0.5546, randp 0.4979, kuperinp 0.4952, sxs 0
724. netqlty 0.75, netp 0.4738, onep 0.4461, zerop 0.5539, randp 0.4986, kuperinp 0.4959, sxs 0
725. netqlty 0.62, netp 0.4745, onep 0.4455, zerop 0.5545, randp 0.4979, kuperinp 0.4952, sxs 1
726. netqlty 0.57, netp 0.4752, onep 0.4463, zerop 0.5537, randp 0.4972, kuperinp 0.4945, sxs 1
727. netqlty 0.62, netp 0.4746, onep 0.4470, zerop 0.5530, randp 0.4966, kuperinp 0.4952, sxs 0
728. netqlty 0.75, netp 0.4739, onep 0.4478, zerop 0.5522, randp 0.4973, kuperinp 0.4959, sxs 0
729. netqlty 0.67, netp 0.4746, onep 0.4486, zerop 0.5514, randp 0.4966, kuperinp 0.4966, sxs 1
730. netqlty 0.70, netp 0.4740, onep 0.4479, zerop 0.5521, randp 0.4973, kuperinp 0.4959, sxs 0
731. netqlty 0.80, netp 0.4747, onep 0.4487, zerop 0.5513, randp 0.4966, kuperinp 0.4952, sxs 1
732. netqlty 0.70, netp 0.4740, onep 0.4481, zerop 0.5519, randp 0.4973, kuperinp 0.4945, sxs 0
733. netqlty 0.80, netp 0.4734, onep 0.4488, zerop 0.5512, randp 0.4966, kuperinp 0.4939, sxs 0
734. netqlty 0.82, netp 0.4741, onep 0.4482, zerop 0.5518, randp 0.4973, kuperinp 0.4932, sxs 1
735. netqlty 0.82, netp 0.4748, onep 0.4490, zerop 0.5510, randp 0.4980, kuperinp 0.4925, sxs 1
736. netqlty 0.83, netp 0.4742, onep 0.4497, zerop 0.5503, randp 0.4973, kuperinp 0.4932, sxs 0
737. netqlty 0.85, netp 0.4749, onep 0.4505, zerop 0.5495, randp 0.4980, kuperinp 0.4939, sxs 1
738. netqlty 0.85, netp 0.4743, onep 0.4512, zerop 0.5488, randp 0.4986, kuperinp 0.4946, sxs 0
739. netqlty 0.85, netp 0.4750, onep 0.4520, zerop 0.5480, randp 0.4980, kuperinp 0.4953, sxs 1
740. netqlty 0.86, netp 0.4743, onep 0.4514, zerop 0.5486, randp 0.4973, kuperinp 0.4946, sxs 0
741. netqlty 0.85, netp 0.4737, onep 0.4507, zerop 0.5493, randp 0.4980, kuperinp 0.4953, sxs 0
742. netqlty 1.00, netp 0.4744, onep 0.4501, zerop 0.5499, randp 0.4987, kuperinp 0.4960, sxs 1
743. netqlty 0.85, netp 0.4751, onep 0.4495, zerop 0.5505, randp 0.4980, kuperinp 0.4966, sxs 1
744. netqlty 0.92, netp 0.4758, onep 0.4489, zerop 0.5511, randp 0.4973, kuperinp 0.4973, sxs 1
745. netqlty 0.91, netp 0.4752, onep 0.4497, zerop 0.5503, randp 0.4966, kuperinp 0.4966, sxs 0
746. netqlty 0.92, netp 0.4745, onep 0.4491, zerop 0.5509, randp 0.4960, kuperinp 0.4960, sxs 0
747. netqlty 0.91, netp 0.4752, onep 0.4498, zerop 0.5502, randp 0.4953, kuperinp 0.4953, sxs 1
748. netqlty 0.82, netp 0.4759, onep 0.4492, zerop 0.5508, randp 0.4960, kuperinp 0.4947, sxs 1
749. netqlty 0.90, netp 0.4753, onep 0.4486, zerop 0.5514, randp 0.4953, kuperinp 0.4953, sxs 0
750. netqlty 0.78, netp 0.4760, onep 0.4480, zerop 0.5520, randp 0.4947, kuperinp 0.4960, sxs 1
751. netqlty 0.78, netp 0.4754, onep 0.4487, zerop 0.5513, randp 0.4940, kuperinp 0.4953, sxs 0
752. netqlty 0.89, netp 0.4747, onep 0.4495, zerop 0.5505, randp 0.4947, kuperinp 0.4960, sxs 0
753. netqlty 0.80, netp 0.4741, onep 0.4489, zerop 0.5511, randp 0.4940, kuperinp 0.4954, sxs 0
754. netqlty 0.78, netp 0.4735, onep 0.4496, zerop 0.5504, randp 0.4934, kuperinp 0.4947, sxs 0
755. netqlty 0.80, netp 0.4728, onep 0.4503, zerop 0.5497, randp 0.4927, kuperinp 0.4954, sxs 0
756. netqlty 0.80, netp 0.4722, onep 0.4497, zerop 0.5503, randp 0.4921, kuperinp 0.4947, sxs 0
757. netqlty 0.78, netp 0.4729, onep 0.4491, zerop 0.5509, randp 0.4927, kuperinp 0.4954, sxs 1
758. netqlty 0.75, netp 0.4723, onep 0.4499, zerop 0.5501, randp 0.4921, kuperinp 0.4947, sxs 0
759. netqlty 0.62, netp 0.4730, onep 0.4493, zerop 0.5507, randp 0.4914, kuperinp 0.4941, sxs 1
760. netqlty 0.57, netp 0.4737, onep 0.4500, zerop 0.5500, randp 0.4921, kuperinp 0.4934, sxs 1
761. netqlty 0.75, netp 0.4744, onep 0.4494, zerop 0.5506, randp 0.4928, kuperinp 0.4928, sxs 1
762. netqlty 0.62, netp 0.4751, onep 0.4501, zerop 0.5499, randp 0.4934, kuperinp 0.4921, sxs 1
763. netqlty 0.67, netp 0.4758, onep 0.4495, zerop 0.5505, randp 0.4941, kuperinp 0.4915, sxs 1
764. netqlty 0.89, netp 0.4751, onep 0.4490, zerop 0.5510, randp 0.4935, kuperinp 0.4921, sxs 0
765. netqlty 0.78, netp 0.4745, onep 0.4484, zerop 0.5516, randp 0.4928, kuperinp 0.4928, sxs 0
766. netqlty 0.75, netp 0.4739, onep 0.4491, zerop 0.5509, randp 0.4935, kuperinp 0.4922, sxs 0
767. netqlty 0.78, netp 0.4733, onep 0.4498, zerop 0.5502, randp 0.4928, kuperinp 0.4928, sxs 0
768. netqlty 0.67, netp 0.4727, onep 0.4492, zerop 0.5508, randp 0.4922, kuperinp 0.4922, sxs 0
769. netqlty 0.78, netp 0.4733, onep 0.4486, zerop 0.5514, randp 0.4928, kuperinp 0.4928, sxs 1
770. netqlty 0.78, netp 0.4740, onep 0.4494, zerop 0.5506, randp 0.4935, kuperinp 0.4922, sxs 1
771. netqlty 0.80, netp 0.4747, onep 0.4501, zerop 0.5499, randp 0.4929, kuperinp 0.4929, sxs 1
772. netqlty 0.80, netp 0.4754, onep 0.4495, zerop 0.5505, randp 0.4935, kuperinp 0.4922, sxs 1
773. netqlty 0.67, netp 0.4761, onep 0.4489, zerop 0.5511, randp 0.4929, kuperinp 0.4929, sxs 1
774. netqlty 0.78, netp 0.4755, onep 0.4496, zerop 0.5504, randp 0.4922, kuperinp 0.4922, sxs 0
775. netqlty 0.89, netp 0.4748, onep 0.4503, zerop 0.5497, randp 0.4916, kuperinp 0.4929, sxs 0
776. netqlty 0.78, netp 0.4755, onep 0.4497, zerop 0.5503, randp 0.4923, kuperinp 0.4923, sxs 1
777. netqlty 1.00, netp 0.4749, onep 0.4492, zerop 0.5508, randp 0.4916, kuperinp 0.4929, sxs 0
778. netqlty 0.89, netp 0.4743, onep 0.4486, zerop 0.5514, randp 0.4923, kuperinp 0.4936, sxs 0
779. netqlty 0.88, netp 0.4750, onep 0.4493, zerop 0.5507, randp 0.4917, kuperinp 0.4929, sxs 1
780. netqlty 0.78, netp 0.4744, onep 0.4500, zerop 0.5500, randp 0.4923, kuperinp 0.4936, sxs 0
781. netqlty 0.67, netp 0.4750, onep 0.4494, zerop 0.5506, randp 0.4930, kuperinp 0.4930, sxs 1
782. netqlty 0.89, netp 0.4744, onep 0.4501, zerop 0.5499, randp 0.4923, kuperinp 0.4923, sxs 0
783. netqlty 0.78, netp 0.4738, onep 0.4496, zerop 0.5504, randp 0.4930, kuperinp 0.4917, sxs 0
784. netqlty 0.78, netp 0.4745, onep 0.4503, zerop 0.5497, randp 0.4936, kuperinp 0.4911, sxs 1
785. netqlty 0.90, netp 0.4752, onep 0.4497, zerop 0.5503, randp 0.4930, kuperinp 0.4904, sxs 1
786. netqlty 0.80, netp 0.4746, onep 0.4491, zerop 0.5509, randp 0.4924, kuperinp 0.4911, sxs 0
787. netqlty 0.78, netp 0.4740, onep 0.4485, zerop 0.5515, randp 0.4930, kuperinp 0.4917, sxs 0
788. netqlty 0.75, netp 0.4746, onep 0.4492, zerop 0.5508, randp 0.4924, kuperinp 0.4911, sxs 1
789. netqlty 0.67, netp 0.4740, onep 0.4499, zerop 0.5501, randp 0.4918, kuperinp 0.4918, sxs 0
790. netqlty 0.80, netp 0.4747, onep 0.4494, zerop 0.5506, randp 0.4924, kuperinp 0.4911, sxs 1
791. netqlty 0.89, netp 0.4753, onep 0.4501, zerop 0.5499, randp 0.4930, kuperinp 0.4905, sxs 1
792. netqlty 0.89, netp 0.4747, onep 0.4508, zerop 0.5492, randp 0.4924, kuperinp 0.4912, sxs 0
793. netqlty 0.70, netp 0.4754, onep 0.4515, zerop 0.5485, randp 0.4918, kuperinp 0.4918, sxs 1
794. netqlty 0.73, netp 0.4761, onep 0.4521, zerop 0.5479, randp 0.4924, kuperinp 0.4924, sxs 1
795. netqlty 0.73, netp 0.4755, onep 0.4516, zerop 0.5484, randp 0.4931, kuperinp 0.4918, sxs 0
796. netqlty 0.70, netp 0.4761, onep 0.4510, zerop 0.5490, randp 0.4937, kuperinp 0.4925, sxs 1
797. netqlty 0.70, netp 0.4755, onep 0.4517, zerop 0.5483, randp 0.4931, kuperinp 0.4918, sxs 0
798. netqlty 0.73, netp 0.4762, onep 0.4524, zerop 0.5476, randp 0.4925, kuperinp 0.4925, sxs 1
799. netqlty 0.75, netp 0.4768, onep 0.4531, zerop 0.5469, randp 0.4931, kuperinp 0.4931, sxs 1
800. netqlty 0.75, netp 0.4775, onep 0.4525, zerop 0.5475, randp 0.4938, kuperinp 0.4925, sxs 1
801. netqlty 0.73, netp 0.4782, onep 0.4532, zerop 0.5468, randp 0.4944, kuperinp 0.4919, sxs 1
802. netqlty 0.83, netp 0.4788, onep 0.4526, zerop 0.5474, randp 0.4950, kuperinp 0.4913, sxs 1
803. netqlty 0.64, netp 0.4782, onep 0.4533, zerop 0.5467, randp 0.4944, kuperinp 0.4907, sxs 0
804. netqlty 0.83, netp 0.4789, onep 0.4527, zerop 0.5473, randp 0.4950, kuperinp 0.4900, sxs 1
805. netqlty 0.73, netp 0.4783, onep 0.4522, zerop 0.5478, randp 0.4957, kuperinp 0.4907, sxs 0
806. netqlty 0.82, netp 0.4789, onep 0.4516, zerop 0.5484, randp 0.4963, kuperinp 0.4913, sxs 1
807. netqlty 0.73, netp 0.4783, onep 0.4523, zerop 0.5477, randp 0.4969, kuperinp 0.4907, sxs 0
808. netqlty 0.75, netp 0.4777, onep 0.4517, zerop 0.5483, randp 0.4975, kuperinp 0.4901, sxs 0
809. netqlty 0.73, netp 0.4771, onep 0.4524, zerop 0.5476, randp 0.4981, kuperinp 0.4895, sxs 0
810. netqlty 0.82, netp 0.4778, onep 0.4531, zerop 0.5469, randp 0.4975, kuperinp 0.4901, sxs 1
811. netqlty 0.83, netp 0.4784, onep 0.4538, zerop 0.5462, randp 0.4982, kuperinp 0.4908, sxs 1
812. netqlty 0.83, netp 0.4778, onep 0.4532, zerop 0.5468, randp 0.4975, kuperinp 0.4901, sxs 0
813. netqlty 0.73, netp 0.4785, onep 0.4526, zerop 0.5474, randp 0.4982, kuperinp 0.4908, sxs 1
814. netqlty 0.70, netp 0.4779, onep 0.4521, zerop 0.5479, randp 0.4988, kuperinp 0.4914, sxs 0
815. netqlty 0.67, netp 0.4785, onep 0.4528, zerop 0.5472, randp 0.4982, kuperinp 0.4908, sxs 1
816. netqlty 0.80, netp 0.4792, onep 0.4522, zerop 0.5478, randp 0.4975, kuperinp 0.4902, sxs 1
817. netqlty 0.60, netp 0.4798, onep 0.4529, zerop 0.5471, randp 0.4982, kuperinp 0.4896, sxs 1
818. netqlty 0.70, netp 0.4804, onep 0.4523, zerop 0.5477, randp 0.4976, kuperinp 0.4890, sxs 1
819. netqlty 0.78, netp 0.4811, onep 0.4530, zerop 0.5470, randp 0.4982, kuperinp 0.4884, sxs 1
820. netqlty 0.78, netp 0.4805, onep 0.4537, zerop 0.5463, randp 0.4976, kuperinp 0.4890, sxs 0
821. netqlty 0.80, netp 0.4811, onep 0.4543, zerop 0.5457, randp 0.4970, kuperinp 0.4896, sxs 1
822. netqlty 0.80, netp 0.4818, onep 0.4538, zerop 0.5462, randp 0.4964, kuperinp 0.4891, sxs 1
823. netqlty 0.80, netp 0.4824, onep 0.4532, zerop 0.5468, randp 0.4970, kuperinp 0.4897, sxs 1
824. netqlty 0.67, netp 0.4830, onep 0.4527, zerop 0.5473, randp 0.4964, kuperinp 0.4903, sxs 1
825. netqlty 0.89, netp 0.4836, onep 0.4533, zerop 0.5467, randp 0.4958, kuperinp 0.4897, sxs 1
826. netqlty 0.80, netp 0.4831, onep 0.4540, zerop 0.5460, randp 0.4964, kuperinp 0.4903, sxs 0
827. netqlty 0.82, netp 0.4825, onep 0.4547, zerop 0.5453, randp 0.4958, kuperinp 0.4909, sxs 0
828. netqlty 0.73, netp 0.4831, onep 0.4553, zerop 0.5447, randp 0.4952, kuperinp 0.4915, sxs 1
829. netqlty 0.75, netp 0.4825, onep 0.4548, zerop 0.5452, randp 0.4958, kuperinp 0.4910, sxs 0
830. netqlty 0.73, netp 0.4831, onep 0.4554, zerop 0.5446, randp 0.4952, kuperinp 0.4904, sxs 1
831. netqlty 0.73, netp 0.4838, onep 0.4561, zerop 0.5439, randp 0.4958, kuperinp 0.4910, sxs 1
832. netqlty 0.82, netp 0.4844, onep 0.4567, zerop 0.5433, randp 0.4952, kuperinp 0.4916, sxs 1
833. netqlty 0.83, netp 0.4838, onep 0.4562, zerop 0.5438, randp 0.4958, kuperinp 0.4910, sxs 0
834. netqlty 0.83, netp 0.4832, onep 0.4556, zerop 0.5444, randp 0.4964, kuperinp 0.4916, sxs 0
835. netqlty 0.83, netp 0.4826, onep 0.4551, zerop 0.5449, randp 0.4970, kuperinp 0.4922, sxs 0
836. netqlty 0.82, netp 0.4821, onep 0.4557, zerop 0.5443, randp 0.4964, kuperinp 0.4916, sxs 0
837. netqlty 0.83, netp 0.4815, onep 0.4552, zerop 0.5448, randp 0.4958, kuperinp 0.4910, sxs 0
838. netqlty 0.91, netp 0.4821, onep 0.4547, zerop 0.5453, randp 0.4964, kuperinp 0.4916, sxs 1
839. netqlty 0.73, netp 0.4827, onep 0.4541, zerop 0.5459, randp 0.4958, kuperinp 0.4923, sxs 1
840. netqlty 0.90, netp 0.4821, onep 0.4548, zerop 0.5452, randp 0.4952, kuperinp 0.4917, sxs 0
841. netqlty 0.90, netp 0.4828, onep 0.4554, zerop 0.5446, randp 0.4946, kuperinp 0.4923, sxs 1
842. netqlty 0.70, netp 0.4822, onep 0.4561, zerop 0.5439, randp 0.4941, kuperinp 0.4929, sxs 0
